1667098453.521874, 	 reno wscale:8,9 rto:400 rtt:196.261/0.115 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:132 ssthresh:163 bytes_sent:1058488 bytes_retrans:125976 bytes_acked:459017 segs_out:733 segs_in:166 data_segs_out:731 send 7.8Mbps lastrcv:580 pacing_rate 23.2Mbps delivery_rate 9.6Mbps delivered:459 busy:580ms unacked:327 retrans:87/87 lost:141 sacked:141 rcv_space:14480 rcv_ssthresh:42242 notsent:1529088 minrtt:20.388
1667098453.535443, 	 reno wscale:8,9 rto:400 rtt:196.293/0.112 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:123 ssthresh:163 bytes_sent:1071520 bytes_retrans:139008 bytes_acked:459017 segs_out:742 segs_in:169 data_segs_out:740 send 7.3Mbps lastrcv:592 pacing_rate 23.2Mbps delivery_rate 9.6Mbps delivered:468 busy:592ms unacked:327 retrans:96/96 lost:150 sacked:150 rcv_space:14480 rcv_ssthresh:42242 notsent:2180688 minrtt:20.388
1667098453.548865, 	 reno wscale:8,9 rto:400 rtt:196.235/0.122 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:111 ssthresh:163 bytes_sent:1088896 bytes_retrans:156384 bytes_acked:459017 segs_out:754 segs_in:173 data_segs_out:752 send 6.6Mbps lastsnd:4 lastrcv:608 lastack:4 pacing_rate 23.2Mbps delivery_rate 9.6Mbps delivered:480 busy:608ms unacked:327 retrans:108/108 lost:162 sacked:162 rcv_space:14480 rcv_ssthresh:42242 notsent:2180688 minrtt:20.388
1667098453.562292, 	 reno wscale:8,9 rto:396 rtt:192.47/0.989 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:163 ssthresh:163 bytes_sent:1184464 bytes_retrans:238920 bytes_acked:487977 segs_out:820 segs_in:180 data_segs_out:818 send 9.8Mbps lastrcv:620 pacing_rate 22.7Mbps delivery_rate 9.0Mbps delivered:491 busy:620ms unacked:316 retrans:154/165 lost:154 sacked:153 rcv_space:14480 rcv_ssthresh:42242 notsent:2167656 minrtt:20.388
1667098453.575698, 	 reno wscale:8,9 rto:384 rtt:183.264/2.902 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:163 ssthresh:163 bytes_sent:1198944 bytes_retrans:238920 bytes_acked:519833 segs_out:830 segs_in:187 data_segs_out:828 send 10.3Mbps lastrcv:632 pacing_rate 23.0Mbps delivery_rate 8.3Mbps delivered:501 busy:632ms unacked:304 retrans:144/165 lost:144 sacked:141 rcv_space:14480 rcv_ssthresh:42242 notsent:2153176 minrtt:20.388
1667098453.589193, 	 reno wscale:8,9 rto:372 rtt:171.778/4.943 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:163 ssthresh:163 bytes_sent:1214872 bytes_retrans:238920 bytes_acked:548793 segs_out:841 segs_in:194 data_segs_out:839 send 11.0Mbps lastsnd:4 lastrcv:648 lastack:4 pacing_rate 23.7Mbps delivery_rate 7.7Mbps delivered:512 busy:648ms unacked:295 retrans:133/165 lost:133 sacked:132 rcv_space:14480 rcv_ssthresh:42242 notsent:2137248 minrtt:20.388
1667098453.602631, 	 reno wscale:8,9 rto:360 rtt:157.85/6.964 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:163 ssthresh:163 bytes_sent:1232248 bytes_retrans:238920 bytes_acked:583545 segs_out:853 segs_in:202 data_segs_out:851 send 12.0Mbps lastrcv:660 pacing_rate 24.7Mbps delivery_rate 7.0Mbps delivered:524 busy:660ms unacked:283 retrans:121/165 lost:121 sacked:120 rcv_space:14480 rcv_ssthresh:42242 notsent:2119872 minrtt:20.388
1667098453.616250, 	 reno wscale:8,9 rto:344 rtt:143.689/8.578 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:163 ssthresh:163 bytes_sent:1249624 bytes_retrans:238920 bytes_acked:618297 segs_out:865 segs_in:210 data_segs_out:863 send 13.1Mbps lastrcv:676 pacing_rate 26.0Mbps delivery_rate 6.3Mbps delivered:536 busy:676ms unacked:271 retrans:109/165 lost:109 sacked:108 rcv_space:14480 rcv_ssthresh:42242 notsent:2102496 minrtt:20.388
1667098453.629998, 	 reno wscale:8,9 rto:344 rtt:143.689/8.578 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:158 ssthresh:163 bytes_sent:1264104 bytes_retrans:246160 bytes_acked:618297 segs_out:875 segs_in:215 data_segs_out:873 send 12.7Mbps lastrcv:688 pacing_rate 26.6Mbps delivery_rate 6.0Mbps delivered:546 busy:688ms unacked:276 retrans:99/170 lost:99 sacked:118 rcv_space:14480 rcv_ssthresh:42242 notsent:2095256 minrtt:20.388
1667098453.643406, 	 reno wscale:8,9 rto:344 rtt:143.689/8.578 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:152 ssthresh:163 bytes_sent:1281480 bytes_retrans:254848 bytes_acked:618297 segs_out:887 segs_in:221 data_segs_out:885 send 12.3Mbps lastsnd:4 lastrcv:704 lastack:4 pacing_rate 27.2Mbps delivery_rate 5.7Mbps delivered:558 busy:704ms unacked:282 retrans:87/176 lost:87 sacked:130 rcv_space:14480 rcv_ssthresh:42242 notsent:2086568 minrtt:20.388
